,GeoFips,GeoName,year,MEDINC,MEDVAL,MOE,UMEDVAL,LMEDVAL,PERINC,POP,RPPALL,RPPGOODS,RPPRENT,RPPSOTH,IPD
166,27060,"Ithaca, NY (Metropolitan Statistical Area)",2019,46496,204600,6041,210641,198559,4750972,102180,105.3,98.9,134.9,97.9,114.7
167,27100,"Jackson, MI (Metropolitan Statistical Area)",2019,40387,131600,2862,134462,128738,6401733,158510,87.6,95.4,69.3,91.4,95.3
168,27140,"Jackson, MS (Metropolitan Statistical Area)",2019,44734,145600,1925,147525,143675,26608102,594806,87.7,96.3,69.2,90.5,95.5
169,27180,"Jackson, TN (Metropolitan Statistical Area)",2019,41794,118000,2740,120740,115260,7466160,178644,80.7,92.5,53.3,90.3,87.8
170,27260,"Jacksonville, FL (Metropolitan Statistical Area)",2019,51421,204700,2179,206879,202521,80191700,1559514,95.4,96.5,94,95.1,103.9
171,27340,"Jacksonville, NC (Metropolitan Statistical Area)",2019,47525,156900,3206,160106,153694,9407046,197938,91.6,96.5,81.3,95.1,99.8
172,27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",2019,46236,146200,2297,148497,143903,7552841,163354,89.6,95.4,76.8,91.4,97.5
173,27620,"Jefferson City, MO (Metropolitan Statistical Area)",2019,44141,157000,3127,160127,153873,6675625,151235,83.2,93.9,56.5,91.1,90.6
174,27740,"Johnson City, TN (Metropolitan Statistical Area)",2019,41209,148400,3189,151589,145211,8392139,203649,85.3,96.8,60.4,90.5,92.9
175,27780,"Johnstown, PA (Metropolitan Statistical Area)",2019,45107,91900,2063,93963,89837,5872588,130192,85.1,98.9,48.8,97.9,92.7
176,27860,"Jonesboro, AR (Metropolitan Statistical Area)",2019,38122,127500,3724,131224,123776,5103025,133860,83.7,92.3,63.9,90.9,91.2
177,27900,"Joplin, MO (Metropolitan Statistical Area)",2019,41423,122200,2980,125180,119220,7438057,179564,83.6,94.7,55.9,92.2,91
178,27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",2019,51348,633500,11626,645126,621874,8600887,167503,113.3,105.7,144.3,100.1,123.3
